Codigo Pedido;Codigo Producto;Cantidad;Precio Unidad;Numero linea
50;OR-226;15;38.0;2
50;OR-227;44;64.0;3
51;OR-209;50;10.0;1
51;OR-210;80;39.0;2
51;OR-211;70;59.0;3
53;FR-2;1;7.0;1
53;FR-85;1;70.0;3
53;FR-86;2;11.0;2
53;OR-116;6;7.0;4
54;11679;3;14.0;3
54;FR-100;45;10.0;2
54;FR-18;5;4.0;1
54;FR-79;3;22.0;4
54;OR-116;8;7.0;6
54;OR-123;3;5.0;5
54;OR-168;2;10.0;7
55;OR-115;9;7.0;1
55;OR-213;2;266.0;2
55;OR-227;6;64.0;5
55;OR-243;2;64.0;4
55;OR-247;1;462.0;3
56;OR-129;1;115.0;5
56;OR-130;10;18.0;6
56;OR-179;1;6.0;3
56;OR-196;3;10.0;4
56;OR-207;4;4.0;2
56;OR-250;3;10.0;1
57;FR-69;6;91.0;4
57;FR-81;3;49.0;3
57;FR-84;2;13.0;1
57;FR-94;6;9.0;2
58;OR-102;65;18.0;3
58;OR-139;80;4.0;1
58;OR-172;69;15.0;2
58;OR-177;150;15.0;4
74;FR-67;15;70.0;1
74;OR-227;34;64.0;2
74;OR-247;42;8.0;3
75;AR-006;60;1.0;2
75;FR-87;24;22.0;3
75;OR-157;46;10.0;1
76;AR-009;250;1.0;5
76;FR-79;40;22.0;3
76;FR-87;24;22.0;4
76;FR-94;35;9.0;1
76;OR-196;25;10.0;2
77;22225;34;12.0;2
77;30310;15;12.0;1
78;FR-53;25;8.0;2
78;FR-85;56;70.0;3
78;OR-157;42;10.0;4
78;OR-208;30;4.0;1
79;OR-240;50;6.0;1
80;FR-11;40;100.0;3
80;FR-36;47;9.0;2
80;OR-136;75;18.0;1
81;OR-208;30;4.0;1
82;OR-227;34;64.0;1
83;OR-208;30;4.0;1
89;FR-108;3;32.0;2
89;FR-3;15;7.0;6
89;FR-42;12;8.0;4
89;FR-66;5;49.0;1
89;FR-87;4;22.0;3
89;OR-157;8;10.0;5
90;AR-001;19;1.0;1
90;AR-002;10;1.0;2
90;AR-003;12;1.0;3
91;FR-100;52;11.0;1
91;FR-101;14;13.0;2
91;FR-102;35;18.0;3
92;FR-108;12;23.0;1
92;FR-11;20;100.0;2
92;FR-12;30;21.0;3
93;FR-54;25;9.0;1
93;FR-58;51;11.0;2
93;FR-60;3;32.0;3
94;11679;12;14.0;1
94;FR-11;33;100.0;3
94;FR-4;79;29.0;2
95;FR-10;9;7.0;2
95;FR-75;6;32.0;1
95;FR-82;5;70.0;3
96;FR-43;6;8.0;1
96;FR-6;16;7.0;4
96;FR-71;10;22.0;3
96;FR-90;4;70.0;2
97;FR-41;12;8.0;1
97;FR-54;14;9.0;2
97;OR-156;10;10.0;3
98;FR-33;14;8.0;4
98;FR-56;16;8.0;3
98;FR-60;8;32.0;1
98;FR-8;18;6.0;5
98;FR-85;6;70.0;2
99;OR-157;15;10.0;2
99;OR-227;30;64.0;1
100;FR-87;20;22.0;1
100;FR-94;40;9.0;2
101;AR-006;50;1.0;1
101;AR-009;159;1.0;2
102;22225;32;12.0;2
102;30310;23;12.0;1
103;FR-53;12;8.0;2
103;OR-208;52;4.0;1
104;FR-85;9;70.0;1
104;OR-157;113;10.0;2
105;OR-227;21;64.0;2
105;OR-240;27;6.0;1
106;AR-009;231;1.0;1
106;OR-136;47;18.0;2
107;30310;143;12.0;2
107;FR-11;15;100.0;1
108;FR-53;53;8.0;1
108;OR-208;59;4.0;2
109;FR-22;8;4.0;5
109;FR-36;12;9.0;3
109;FR-45;14;8.0;4
109;OR-104;20;10.0;1
109;OR-119;10;5.0;2
109;OR-125;3;5.0;6
109;OR-130;2;18.0;7
110;AR-010;6;1.0;3
110;FR-1;14;7.0;1
110;FR-16;1;45.0;2
116;21636;5;14.0;1
116;AR-001;32;1.0;2
116;AR-005;18;1.0;5
116;FR-33;13;8.0;3
116;OR-200;10;4.0;4
117;FR-78;2;15.0;1
117;FR-80;1;32.0;3
117;OR-146;17;4.0;2
117;OR-179;4;6.0;4
128;AR-004;15;1.0;1
128;OR-150;18;2.0;2
